Questions,Answers
Quand l'ENSA Tétouan a-t-elle été fondée ?,Septembre 2008.
L'ENSA Tétouan fait-elle partie d'un réseau ?,"Oui, elle est membre du réseau des Écoles Nationales des Sciences Appliquées (ENSA) du Maroc."
Quel est le statut de l'ENSA Tétouan ?,C'est un établissement public d'enseignement supérieur technique.
Quelle est la mission principale de l'ENSA Tétouan ?,"Former des ingénieurs d'État hautement qualifiés, adaptables aux évolutions technologiques et aux besoins du marché."
Comment est organisée la structure pédagogique de l'ENSA Tétouan ?,Elle comprend un Cycle Préparatoire intégré de 2 ans et un Cycle Ingénieur de 3 ans.
Quelles sont les filières disponibles à l'ENSA Tétouan ?,Le document mentionne spécifiquement le Génie Mécatronique et Systèmes Intelligents (GMSI).
Quels sont les modules enseignés en Génie Mécatronique ?,"Mécanique, Électronique, Informatique et Systèmes Embarqués, Automatique et Robotique, Intelligence Artificielle et Soft Skills."
Quels langages de programmation sont enseignés en mécatronique ?,C/C++ et Python.
Quels logiciels de CAO sont utilisés dans les formations du club ?,CATIA et SolidWorks.
Quelle est l'adresse exacte de l'ENSA Tétouan ?,"Avenue de la Palestine Mhanech I Tétouan, Maroc"
Qui est le directeur actuel de l'ENSA Tétouan ?,Pr. Kamal Reklaoui.
En quelle année le Club Mécatronique a-t-il été fondé ?,2009.
Qui a fondé le Club Mécatronique ?,Des élèves ingénieurs de l'ENSA Tétouan.
Quelle est la mission du Club Mécatronique ?,"Promouvoir la mécatronique auprès des étudiants via des ateliers, formations et compétitions."
Quelles sont les valeurs du club ?,"Innovation, créativité, esprit d'équipe, solidarité, leadership et excellence technique."
Comment le club est-il structuré ?,"En départements techniques (Mécanique, Électronique, Systèmes Embarqués, IA) et administratifs (Communication, Logistique, Sponsoring)."
Quelles formations techniques le club propose-t-il ?,"Arduino, CATIA, SolidWorks, conception de PCB et Python."
C'est quoi 'Let's Mechatronics' ?,Des rencontres hebdomadaires avec des lauréats et experts de l'industrie.
Qu'est-ce que la Journée Nationale de la Mécatronique ?,"La Journée Nationale de la Mécatronique a offert aux étudiants une riche expérience d'apprentissage et d'échanges. Conférences, ateliers, stands et séminaires ont permis de découvrir de nouvelles perspectives techniques et professionnelles, tout en renforçant les connaissances et en favorisant les interactions avec les experts et passionnés du domaine. Une occasion unique de mieux comprendre les enjeux de la mécatronique et d'élargir son réseau."
Le club participe-t-il à des compétitions internationales ?,"Oui, il a participé à des événements à Singapour, en Thaïlande et en Égypte."
Quel prix majeur le club a-t-il remporté récemment ?,Le 1er prix à la 4ème édition du concours Capgemini Engineering.
Qui est l'encadrant pédagogique du club ?,Pr. Mahboub Oussama.
Combien de membres compte le club ?,"Cette année, le club compte plus de 80 membres"
Où se trouve le local du club ?,À l'ENSA de Tétouan (Salle Mécatronique).
Qu'est-ce que la CNR ?,"La CNR est un événement annuel qui favorise la créativité des jeunes étudiants issus de toutes les universités du Royaume dans le domaine de la robotique et des nouvelles technologies. Marquée par la participation de nombreuses équipes provenant de diverses universités du Royaume, vise à encourager les jeunes à s'investir dans la robotique, à libérer leur potentiel d'innovation, et à développer des compétences telles que l'esprit d'équipe, la solidarité, le partage des connaissances, la protection de l'environnement et le leadership."
Quels sont les objectifs de la CNR ?,"Stimuler la créativité, favoriser l'échange de connaissances et encourager la recherche appliquée en robotique."
Quel était le thème de la 13ème édition de la CNR ?,Biomed Techaton (Biomédical & Innovation en Santé).
Quand a eu lieu la 13ème édition ?,Le 26 et 27 avril 2025.
Quel était le thème de la 6ème édition de la CNR ?,"Fight, Defend, Survive."
Quel est le thème de la 14ème édition (2026) ?,MecaWorld Cup 2030 : Le sport rencontre la robotique.
Quelles sont les dates de la 14ème édition de la CNR ?,Les 25 et 26 avril 2026.
Où se déroulera la 14ème édition ?,À l'ENSA Tétouan.
Quels sont les quatre défis de la 14ème édition ?,"1. Smart Security & Flow, 2. Green Tech & Sustainability, 3. Autonomous Mobility, 4. Interactive Infrastructure."
Comment se déroule la 14ème édition (format) ?,Jour 1 : Conférence d'experts. Jour 2 : Compétition et présentation des prototypes.
À quels ODD la CNR est-elle alignée ?,"ODD 4, 8, 9, 11 et 13."
Quel est le montant total des prix pour la CNR ?,Je ne sais pas (les détails budgétaires ont été exclus comme demandé).
Qui peut participer à la CNR ?,Les jeunes étudiants issus de toutes les universités du Royaume du Maroc.
Quel est l'email de contact du club ?,clubmecatroniqueensate@gmail.com
Comment suivre le club sur les réseaux sociaux ?,Sur LinkedIn (Club mécatronique ENSA Tétouan) et Instagram (@clubmecatronique_ensate).
Quel est le site web officiel mentionné ?,ensate.uae.ac.ma
Quels sont les numéros de téléphone des responsables ?,"Président : 06 71-969871, Vice-Président : 06 55-979800, R. Sponsoring : 06 41-036101."
Quelles entreprises ont déjà fait confiance au club ?,"CIH Bank, Bottu, CMRPI, Grupo Avalon, Amendis, Colainord, Apside, Abroun, etc."
Le club fait-il des actions sociales ?,"Oui, il organise des ateliers pour les élèves (ex: école Ibn Sina à Tétouan)."
Quels types de microcontrôleurs sont utilisés par le club ?,"Arduino, ESP-32 et STM32."
La compétition est-elle ouverte au public ?,"La compétition est dédiée à tous les étudiants des études supérieures de tout le royaume, mais tous les gens peuvent la suivre ou l'assister"
